sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.68;4.95;8.5;0.69;5.08;8.35;-0.1;0.0;0.09;-0.06;0.04;0.03;320.0;-31.08;29.04;12.42;57.99;-31.3;-4.93;9.0;1010.15;36.807;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;19004;2014-12-10 11:19:56:050
0.74;4.79;8.26;0.78;4.89;8.46;-0.05;0.04;-0.15;-0.05;-0.14;-0.01;320.0;-31.92;29.34;12.96;58.65;-29.92;-5.27;9.0;1010.15;39.772;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;19504;2014-12-10 11:19:56:550
0.47;4.18;8.55;0.44;4.34;8.78;-0.27;0.03;0.04;0.05;0.17;-0.04;320.0;-31.74;29.22;12.54;56.59;-25.7;-5.39;9.0;1010.14;35.289;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;20005;2014-12-10 11:19:57:051
0.53;4.16;8.54;0.5;4.26;8.81;0.0;0.12;-0.47;-0.16;-0.08;0.0;320.0;-31.62;29.7;11.82;55.67;-26.16;-1.95;9.0;1010.15;33.576;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;20505;2014-12-10 11:19:57:551
0.71;4.27;8.37;0.97;3.96;8.91;-0.37;0.23;-0.36;-0.46;0.31;0.31;320.0;-32.28;29.88;13.56;55.57;-24.99;-6.79;9.0;1010.15;57.995;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;21005;2014-12-10 11:19:58:051
1.02;2.98;8.98;0.71;3.18;9.24;0.05;0.02;-0.22;-0.12;-0.02;0.07;320.0;-32.04;30.06;11.82;52.39;-18.94;-4.39;9.0;1010.15;62.074;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;21504;2014-12-10 11:19:58:550
0.67;3.43;9.07;0.9;3.36;9.16;-0.27;0.09;0.05;0.15;-0.22;-0.17;320.0;-32.28;29.16;12.48;53.74;-20.05;-5.61;9.0;1010.15;51.252;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;22005;2014-12-10 11:19:59:051
-0.05;4.36;8.63;0.23;4.05;8.92;-0.09;0.49;-0.03;0.22;0.51;0.33;320.0;-31.85;28.98;12.0;55.29;-23.38;-3.44;9.0;1010.14;53.754;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;22504;2014-12-10 11:19:59:550
-0.22;4.71;8.16;0.43;4.59;8.65;-0.84;0.2;0.12;-0.02;0.01;0.0;320.0;-31.74;29.88;11.88;55.88;-27.42;-4.35;9.0;1010.14;37.384;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;23004;2014-12-10 11:20:00:050
-0.02;5.42;8.63;-0.23;5.18;8.31;-0.06;0.15;0.48;-0.16;-0.45;0.16;320.0;-31.38;28.68;9.24;58.48;-32.75;2.71;9.0;1010.14;54.218;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;23504;2014-12-10 11:20:00:550
